"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0090277","positive regulation of peptide hormone secretion","5/151","95/18862",0.000999494022352401,0.0482555713991739,0.0409687339267395,"2641/169026/1392/25874/8431",5
"BP","GO:0003333","amino acid transmembrane transport","5/151","96/18862",0.00104770189822331,0.0486375458136743,0.0412930282558863,"55089/23428/5999/6520/3688",5
"BP","GO:0071357","cellular response to type I interferon","5/151","96/18862",0.00104770189822331,0.0486375458136743,0.0412930282558863,"3133/11274/2537/3106/3105",5
"CC","GO:0030176","integral component of endoplasmic reticulum membrane","14/156","157/19520",3.14122110367684e-11,8.11045524490648e-09,6.20896095303845e-09,"567/3133/6319/26580/54344/3106/8879/811/28972/55161/51604/9524/3105/6892",14
"CC","GO:0031227","intrinsic component of endoplasmic reticulum membrane","14/156","165/19520",6.1442842764443e-11,8.11045524490648e-09,6.20896095303845e-09,"567/3133/6319/26580/54344/3106/8879/811/28972/55161/51604/9524/3105/6892",14
"CC","GO:0031301","integral component of organelle membrane","17/156","371/19520",7.56614367655949e-09,6.65820643537235e-07,5.09719152947166e-07,"567/3133/2110/25874/6319/26580/54344/3106/8879/811/28972/55161/51604/9524/3105/100131801/6892",17
"CC","GO:0031300","intrinsic component of organelle membrane","17/156","402/19520",2.46745013192571e-08,1.62851708707097e-06,1.24671164560457e-06,"567/3133/2110/25874/6319/26580/54344/3106/8879/811/28972/55161/51604/9524/3105/100131801/6892",17
"CC","GO:0005925","focal adhesion","16/156","416/19520",2.36856783188092e-07,1.25060381523312e-05,9.57400049939233e-06,"2191/1803/83692/567/4267/23022/7431/9124/4179/8895/811/22919/64098/3688/11261/960",16
"CC","GO:0030055","cell-substrate junction","16/156","423/19520",2.96336700428805e-07,1.30388148188674e-05,9.98186780391766e-06,"2191/1803/83692/567/4267/23022/7431/9124/4179/8895/811/22919/64098/3688/11261/960",16
"CC","GO:0071556","integral component of lumenal side of endoplasmic reticulum membrane","5/156","29/19520",3.10937581406115e-06,0.000102609401864018,7.85526521447029e-05,"3133/3106/811/3105/6892",5
"CC","GO:0098553","lumenal side of endoplasmic reticulum membrane","5/156","29/19520",3.10937581406115e-06,0.000102609401864018,7.85526521447029e-05,"3133/3106/811/3105/6892",5
"CC","GO:0005788","endoplasmic reticulum lumen","12/156","306/19520",6.68266303723476e-06,0.000196024782425553,0.000150066819081763,"2641/6383/25870/567/7425/2159/1622/64374/1191/811/7857/1114",12
"CC","GO:0098576","lumenal side of membrane","5/156","36/19520",9.43550038791632e-06,0.000249097210240991,0.000190696428892625,"3133/3106/811/3105/6892",5
"CC","GO:0030670","phagocytic vesicle membrane","6/156","77/19520",3.51343925714312e-05,0.000843225421714348,0.000645531423321989,"567/3133/3106/811/3105/6892",6
"CC","GO:0042611","MHC protein complex","4/156","25/19520",4.35608167691745e-05,0.000958337968921839,0.00073365586137557,"567/3133/3106/3105",4
"CC","GO:0140534","endoplasmic reticulum protein-containing complex","7/156","127/19520",7.29192709227891e-05,0.00148082211720126,0.00113364372608709,"567/6748/811/28972/51604/3105/6892",7
"CC","GO:0030133","transport vesicle","12/156","402/19520",9.65979432322124e-05,0.001821561215236,0.00139449662410412,"169026/10226/567/7425/3133/23546/5126/1113/3106/3105/11261/1363",12
"CC","GO:0045335","phagocytic vesicle","7/156","136/19520",0.000112184087684896,0.00197443994325416,0.00151153297091228,"567/7431/3133/3106/811/3105/6892",7
"CC","GO:0030666","endocytic vesicle membrane","7/156","163/19520",0.000342070679534684,0.00564416621232228,0.00432089279412232,"567/3133/3106/811/3105/6892/7314",7
"CC","GO:0045177","apical part of cell","11/156","414/19520",0.000509155148494785,0.00785659591942931,0.00601461888568751,"2191/60676/3485/1803/23428/10159/6520/481/5174/56667/960",11
"CC","GO:0016324","apical plasma membrane","10/156","351/19520",0.000535676994506544,0.00785659591942931,0.00601461888568751,"60676/3485/1803/23428/10159/6520/481/5174/56667/960",10
"CC","GO:0055038","recycling endosome membrane","5/156","87/19520",0.000666765266512692,0.00910326766967583,0.00696900874233557,"567/5912/3133/3106/3105",5
"CC","GO:0031258","lamellipodium membrane","3/156","22/19520",0.000689641490126957,0.00910326766967583,0.00696900874233557,"2191/1803/960",3
"CC","GO:0030667","secretory granule membrane","9/156","305/19520",0.000792735018197154,0.0098658425990474,0.00755279816195017,"169026/9749/84418/5912/10159/3106/4179/8895/960",9
"CC","GO:0030139","endocytic vesicle","9/156","307/19520",0.00083017500208492,0.0098658425990474,0.00755279816195017,"1803/567/7431/3133/3106/811/3105/6892/7314",9
"CC","GO:1905368","peptidase complex","5/156","92/19520",0.000859524165826099,0.0098658425990474,0.00755279816195017,"2191/2152/28972/51604/5691",5
"CC","GO:0030134","COPII-coated ER to Golgi transport vesicle","5/156","94/19520",0.000947225521844745,0.0104194807402922,0.00797663597342944,"567/3133/222068/3106/3105",5
"CC","GO:0030027","lamellipodium","7/156","196/19520",0.00102191182792635,0.0107913889029023,0.0082613503562888,"2191/51196/1803/3983/23022/3688/960",7
"CC","GO:0030658","transport vesicle membrane","7/156","206/19520",0.00136244384864937,0.0138340452324397,0.0105906566372744,"169026/567/3133/23546/3106/3105/1363",7
"CC","GO:0012507","ER to Golgi transport vesicle membrane","4/156","62/19520",0.00152748120466466,0.0149353717789433,0.0114337774384255,"567/3133/3106/3105",4
"CC","GO:0031253","cell projection membrane","9/156","337/19520",0.001587096874123,0.0149640562417312,0.0114557368357751,"2191/10400/1803/23428/10159/5174/22919/3688/960",9
"CC","GO:0005790","smooth endoplasmic reticulum","3/156","30/19520",0.00173503137313615,0.015514527489249,0.011877150231004,"10549/3759/811",3
"CC","GO:0031252","cell leading edge","10/156","411/19520",0.00176301448741466,0.015514527489249,0.011877150231004,"2191/51196/1803/3983/23022/7431/10159/10324/3688/960",10
"CC","GO:0005743","mitochondrial inner membrane","11/156","493/19520",0.00207741216199294,0.0176915100247141,0.0135437397318385,"25994/292/2110/25874/2537/1346/1191/4729/25915/100131801/1349",11
"CC","GO:0005797","Golgi medial cisterna","2/156","11/19520",0.00332904051379554,0.0274645842388132,0.0210255190344981,"3105/9528",2
"CC","GO:0042583","chromaffin granule","2/156","12/19520",0.00397395367729436,0.0313723308382171,0.0240170953785394,"1113/1191",2
"CC","GO:0055037","recycling endosome","6/156","190/19520",0.00427973987587801,0.0313723308382171,0.0240170953785394,"567/5912/3133/3106/3105/3688",6
"CC","GO:0034774","secretory granule lumen","8/156","322/19520",0.00443321013418316,0.0313723308382171,0.0240170953785394,"2641/7276/567/302/23406/10549/1191/5274",8
"CC","GO:0042383","sarcolemma","5/156","134/19520",0.00446750924618015,0.0313723308382171,0.0240170953785394,"10400/783/3759/481/3688",5
"CC","GO:0045121","membrane raft","8/156","323/19520",0.00451571428731913,0.0313723308382171,0.0240170953785394,"1803/5912/302/292/10376/481/5174/3688",8
"CC","GO:0098857","membrane microdomain","8/156","323/19520",0.00451571428731913,0.0313723308382171,0.0240170953785394,"1803/5912/302/292/10376/481/5174/3688",8
"CC","GO:0098992","neuronal dense core vesicle","2/156","13/19520",0.00467194141377672,0.031484213848383,0.0241027474437382,"1113/7857",2
"CC","GO:0060205","cytoplasmic vesicle lumen","8/156","326/19520",0.00477033543157319,0.031484213848383,0.0241027474437382,"2641/7276/567/302/23406/10549/1191/5274",8
"CC","GO:0031983","vesicle lumen","8/156","328/19520",0.00494611678136472,0.0318481665922021,0.0243813715538389,"2641/7276/567/302/23406/10549/1191/5274",8
"CC","GO:0030315","T-tubule","3/156","51/19520",0.00787613701248826,0.0495071469356405,0.0379002081803946,"783/3759/481",3
"MF","GO:0042605","peptide antigen binding","5/151","32/18337",5.96352898386914e-06,0.00228403160082188,0.00196482586521162,"23428/3133/3106/3105/6892",5
"MF","GO:0098631","cell adhesion mediator activity","5/151","58/18337",0.000114240109044216,0.0218769808819673,0.018819554805705,"152330/302/23022/9124/3688",5
"MF","GO:0003779","actin binding","12/151","439/18337",0.000284735867859396,0.0363512791300496,0.0312709918035056,"53827/3983/9749/2638/23022/23406/783/829/9124/5217/64098/3688",12
"MF","GO:0045296","cadherin binding","10/151","332/18337",0.000435179469303548,0.0416684341858147,0.0358450457610554,"53827/10226/3939/302/829/6520/9124/4179/22919/3688",10
